address,area,frontage,access_road,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,year
"60, Phường Bình Hưng Hòa, TP Hồ Chí Minh",60,,,Đông,,2,3,3,Have certificate,Other,5.65,2026
"Đường Số 16, Phường Bình Hưng Hòa, TP Hồ Chí Minh",90,,,,,,4,,Have certificate,,6.85,2026
"Đường Phan Văn Trị, Phường Bình Lợi Trung, TP Hồ Chí Minh",33,,,,,,3,,,,6.95,2026
"Đường Nguyễn Văn Khối, Phường Thông Tây Hội, TP Hồ Chí Minh",33,,,Đông Nam,,1,3,2,Have certificate,Full,5.28,2026
"Đường số 48, Phường Hiệp Bình, TP Hồ Chí Minh",33,,,,,2,3,2,Have certificate,Other,1.755,2026
"Đường Quang Trung, Phường Thông Tây Hội, TP Hồ Chí Minh",69,,,,,4,10,6,Have certificate,Other,7.5,2026
"Đường Lê Văn Sỹ, Phường Nhiêu Lộc, TP Hồ Chí Minh",32,,,,,2,2,,,,6.2,2026
"19, Phường Trung Mỹ Tây, TP Hồ Chí Minh",80,,,,,,6,,,,8.5,2026
"Đường số 13, Phường Tân Hưng, TP Hồ Chí Minh",30.36,,,,,,2,,Have certificate,,6.5,2026
"Đường Kênh Nước Đen, Phường Bình Hưng Hòa, TP Hồ Chí Minh",32,,,,,,2,2,Have certificate,,3.4,2026
"Hiệp Thành 13, Phường Tân Thới Hiệp, TP Hồ Chí Minh",84,,,,,1,1,1,Have certificate,Basic,4.6,2026
"Đường Số 16, Phường Bình Hưng Hòa, TP Hồ Chí Minh",90,,,,,,4,,Have certificate,,6.85,2026
"80, Phường Thủ Đức, TP Hồ Chí Minh",21,,,Đông Bắc,,1,2,1,Have certificate,Full,1.69,2026
"Đường Nguyễn Thái Sơn, Phường An Nhơn, TP Hồ Chí Minh",28,,,,,3,3,3,Have certificate,Other,4.5,2026
"Hẻm 40, Phường Phú Định, TP Hồ Chí Minh",47,,,Đông Bắc,,2,2,2,Have certificate,,4.3,2026
"Đường Tân Thới Nhất 2, Phường Đông Hưng Thuận, TP Hồ Chí Minh",100,,,Bắc,,3,4,3,Have certificate,,7.8,2026
"Phan Văn Trị, Phường An Nhơn, TP Hồ Chí Minh",48,,,Tây Nam,,4,4,6,Have certificate,Other,9,2026
"Đường Hòa Hưng, Phường Hòa Hưng, TP Hồ Chí Minh",127,,,,,,2,1,Have certificate,,12.9,2026
"Đường Xuân Thới Thượng 7, Xã Bà Điểm, TP Hồ Chí Minh",82.5,,,Đông Bắc,,2,4,3,Have certificate,Other,5.5,2026
"Đường Huỳnh Thị Mài, Xã Hóc Môn, TP Hồ Chí Minh",85,,,,,1,3,2,Have certificate,Basic,1.85,2026
"Đường Nguyễn Sỹ Sách, Phường Tân Sơn, TP Hồ Chí Minh",42,,,,,,2,3,,,5,2026
"Đường Lê Đức Thọ, Phường Gò Vấp, TP Hồ Chí Minh",30,,,,,2,2,2,Have certificate,Basic,3.45,2026
"Đường Lạc Long Quân, Phường Tân Hòa, TP Hồ Chí Minh",50,,,,,,4,,,,7.25,2026
"Xô Viết Nghệ Tĩnh, Phường Thạnh Mỹ Tây, TP Hồ Chí Minh",55,,,,,,6,,Have certificate,,8.7,2026
"Đường Tăng Nhơn Phú, Phường Tăng Nhơn Phú, TP Hồ Chí Minh",121,,,,,2,5,2,Have certificate,Basic,7.5,2026
"Đường Lê Văn Sỹ, Phường Nhiêu Lộc, TP Hồ Chí Minh",32,,,,,2,2,,,,6.2,2026
"Nguyễn Văn Linh, Phường Tân Hưng, TP Hồ Chí Minh",126,,,Bắc,,6,7,6,Have certificate,Other,33,2026
"Đường Phan Văn Trị, Phường Bình Thạnh, TP Hồ Chí Minh",80,,,,,,3,2,Have certificate,Other,6.9,2026
"Đường Tây Lân, Phường Bình Trị Đông, TP Hồ Chí Minh",55,,,Tây Bắc,,5,5,5,Have certificate,,6.3,2026
"Đường Lê Đức Thọ, Phường Gò Vấp, TP Hồ Chí Minh",30,,,,,2,2,2,Have certificate,Basic,3.45,2026
"Phan Văn Trị, Phường An Nhơn, TP Hồ Chí Minh",48,,,Tây Nam,,4,4,6,Have certificate,Other,9,2026
"60, Phường Tân Sơn, TP Hồ Chí Minh",52,,,Đông Bắc,,4,5,5,Have certificate,Full,7.999,2026
"Đường Nguyễn Thị Búp, Phường Trung Mỹ Tây, TP Hồ Chí Minh",140,,,,,,4,,Have certificate,,13.45,2026
"Hiệp Thành 13, Phường Tân Thới Hiệp, TP Hồ Chí Minh",84,,,,,1,1,1,Have certificate,Basic,4.6,2026
"Nguyễn Văn Linh, Phường Tân Hưng, TP Hồ Chí Minh",126,,,Bắc,,6,7,6,Have certificate,Other,33,2026
"Đường Huỳnh Thị Mài, Xã Hóc Môn, TP Hồ Chí Minh",85,,,,,1,3,2,Have certificate,Basic,1.85,2026
"360, Phường Thông Tây Hội, TP Hồ Chí Minh",114,,,,,,10,6,Have certificate,Full,26,2026
"Đường Tân Thới Nhất 2, Phường Đông Hưng Thuận, TP Hồ Chí Minh",100,,,Bắc,,3,4,3,Have certificate,,7.8,2026
"Cách Mạng Tháng 8, Phường Hòa Hưng, TP Hồ Chí Minh",41,,,Tây Bắc,,2,2,2,Have certificate,,6.8,2026
"Đường Nguyễn Sơn, Phường Phú Thọ Hòa, TP Hồ Chí Minh",107,,,,,2,6,4,Have certificate,,14.2,2026
"28, Phường Bình Đông, TP Hồ Chí Minh",65,,,,,,8,6,Have certificate,Full,13,2026
"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, TP Hồ Chí Minh",85,,,,,6,10,6,Have certificate,Other,10.6,2026
"Đường Tỉnh lộ 10, Phường An Lạc, TP Hồ Chí Minh",50,,,Nam,,,4,,Have certificate,,5.6,2026
"Đường Tỉnh lộ 10, Phường Tân Tạo, TP Hồ Chí Minh",80,,,,,,1,2,Have certificate,,7.5,2026
"360, Phường Thông Tây Hội, TP Hồ Chí Minh",114,,,,,,10,6,Have certificate,Full,26,2026
"Đường Nguyễn Thị Sóc, Xã Bà Điểm, TP Hồ Chí Minh",60,,,,,,2,,,,3.65,2026
"Đường Số 12, Phường Bình Hưng Hòa, TP Hồ Chí Minh",56,,,,,2,3,3,Have certificate,Other,5.75,2026
"Đường Hà Huy Giáp, Phường An Phú Đông, TP Hồ Chí Minh",60,,,,,,4,4,Have certificate,Full,6.8,2026
"Đường Tân Thới Nhất 2, Phường Đông Hưng Thuận, TP Hồ Chí Minh",100,,,,,3,4,3,Have certificate,,7.25,2026
"60, Phường Tân Sơn, TP Hồ Chí Minh",52,,,Đông Bắc,,4,5,5,Have certificate,Full,7.999,2026
"Cách Mạng Tháng 8, Phường Hòa Hưng, TP Hồ Chí Minh",41,,,Tây Bắc,,2,2,2,Have certificate,,6.8,2026
"Đường Tây Lân, Phường Bình Trị Đông, TP Hồ Chí Minh",55,,,Tây Bắc,,5,5,5,Have certificate,,6.3,2026
"Đường Nguyễn Xí, Phường Bình Lợi Trung, TP Hồ Chí Minh",51,,,,,2,2,2,Have certificate,Other,7.9,2026
"C32, Xã Tân Nhựt, TP Hồ Chí Minh",254,,,Đông Bắc,,1,1,1,Have certificate,,3.89,2026
"Hẻm 60 Đường Lâm Văn Bền, Phường Tân Hưng, TP Hồ Chí Minh",42,,,,,3,4,3,Have certificate,Full,4,2026
"Đường Nguyễn Sơn, Phường Phú Thọ Hòa, TP Hồ Chí Minh",107,,,,,2,6,4,Have certificate,,14.2,2026
"Đường Hàng Tre, Phường Long Bình, TP Hồ Chí Minh",70,,,,,2,2,2,Have certificate,,3.75,2026
"Đường Số 6 Lò Lu, Phường Long Trường, TP Hồ Chí Minh",26,,,Nam,,1,2,1,Shared certificate,Basic,790,2026
"Pham Van Chieu, Phường An Hội Tây, TP Hồ Chí Minh",48,,,,,3,4,3,Have certificate,Full,6.95,2026
"Đường Tỉnh lộ 10, Phường Tân Tạo, TP Hồ Chí Minh",80,,,,,,1,2,Have certificate,,7.5,2026
"Đường Bình Long, Phường Bình Hưng Hòa, TP Hồ Chí Minh",62,,,,,,3,,Have certificate,,4.1,2026
"Hẻm 965 Quang Trung, Phường An Hội Tây, TP Hồ Chí Minh",28,,,Tây Nam,,2,2,2,Have certificate,Full,3.6,2026
"Dã Tượng, Phường Chánh Hưng, TP Hồ Chí Minh",57,,,,,5,6,,Have certificate,,10.8,2026
"Đường Trần Hưng Đạo, Phường Chợ Quán, TP Hồ Chí Minh",12,,,Đông Nam,,2,1,1,Shared certificate,Basic,1.55,2026
"Đường Số 4, Phường Hiệp Bình, TP Hồ Chí Minh",35,,,,,2,3,2,Have certificate,Full,1.955,2026
"Hẻm 154/1 Cống Lở, Phường Tân Sơn, TP Hồ Chí Minh",65,,,,,5,5,4,Have certificate,Basic,6.8,2026
"Đường Trường Sa, Phường Cầu Kiệu, TP Hồ Chí Minh",36.3,,,Đông Nam,,2,2,,Have certificate,,8.8,2026
"Đường Huỳnh Thị Hai, Phường Trung Mỹ Tây, TP Hồ Chí Minh",95,,,,,3,7,,Have certificate,,5,2026
"C32, Xã Tân Nhựt, TP Hồ Chí Minh",254,,,Đông Bắc,,1,1,1,Have certificate,,3.89,2026
"Đường Tân Thới Nhất 2, Phường Đông Hưng Thuận, TP Hồ Chí Minh",100,,,,,3,4,3,Have certificate,,7.25,2026
"Đường số 51, Phường An Hội Tây, TP Hồ Chí Minh",20,,,,,3,2,2,Have certificate,Basic,2.68,2026
"Đường Xô Viết Nghệ Tĩnh, Phường Bình Thạnh, TP Hồ Chí Minh",50,,,,,3,4,,Have certificate,Full,8.75,2026
"Đường Hồ Học Lãm, Phường An Lạc, TP Hồ Chí Minh",32,,,,,4,2,3,Have certificate,Full,3.55,2026
"Đường Hương Lộ 2, Phường Bình Trị Đông, TP Hồ Chí Minh",33,,,,,,4,3,Have certificate,,4,2026
"Đường Trường Sa, Phường Cầu Kiệu, TP Hồ Chí Minh",36.3,,,Đông Nam,,2,2,,Have certificate,,8.8,2026
"Đường Hàng Tre, Phường Long Bình, TP Hồ Chí Minh",70,,,,,2,2,2,Have certificate,,3.75,2026
"Đường Số 4, Phường Hiệp Bình, TP Hồ Chí Minh",35,,,,,2,3,2,Have certificate,Full,1.955,2026
"Đường Lạc Long Quân, Phường Bảy Hiền, TP Hồ Chí Minh",42,,,,,,2,2,Have certificate,,5,2026
"91 Trần Hải Phụng ( 1770/29 TL10 ), Phường Tân Tạo, TP Hồ Chí Minh",110,,,Đông,,2,2,2,Have certificate,Other,6.45,2026
"Đường Lê Văn Khương, Phường Tân Thới Hiệp, TP Hồ Chí Minh",70,,,,,,2,2,Have certificate,Full,4.75,2026
"Đường Lò Gốm, Phường Bình Tiên, TP Hồ Chí Minh",10,,,Đông Nam,,,2,2,Have certificate,,1.38,2026
"Đường Bùi Viện, Phường Bến Thành, TP Hồ Chí Minh",10,,,,,,2,3,Have certificate,,2.5,2026
"Đường Lê Tấn Bê, Phường An Lạc, TP Hồ Chí Minh",102,,,,,,2,,Have certificate,Full,5.1,2026
"Đường Phan Văn Trị, Phường Bình Lợi Trung, TP Hồ Chí Minh",34,,,,,,2,,,,5.95,2026
"Pham Van Chieu, Phường An Hội Tây, TP Hồ Chí Minh",48,,,,,3,4,3,Have certificate,Full,6.95,2026
"Đường Tân Hòa Đông, Phường Bình Trị Đông, TP Hồ Chí Minh",72,,,,,,4,,Have certificate,,9.75,2026
"Đường Tân Hương, Phường Phú Thọ Hòa, TP Hồ Chí Minh",81,,,,,2,2,2,,,8.988,2026
"241/ Tân Hoà Đông , Phường Phú Lâm, TP Hồ Chí Minh",11.4,,,Tây,,,3,4,Have certificate,,2.38,2026
"Đường Lâm Văn Bền, Phường Tân Hưng, TP Hồ Chí Minh",48,,,,,,2,,,,5,2026
"Đường Lê Đức Thọ, Phường An Hội Đông, TP Hồ Chí Minh",112,,,,,4,4,5,Have certificate,Other,13.75,2026
"Đường Phạm Thế Hiển, Phường Bình Đông, TP Hồ Chí Minh",500,,,,,,4,,,,35,2026
"Đường 13A, Phường Bình Hưng Hòa, TP Hồ Chí Minh",66,,,,,2,2,2,Have certificate,Other,4.85,2026
"Hẻm 56 Đường Tạ Quang Bửu, Phường Chánh Hưng, TP Hồ Chí Minh",49,,,Đông,,2,2,2,Have certificate,Basic,6.9,2026
"Phan Huy Ich, Phường An Hội Tây, TP Hồ Chí Minh",38,,,Tây Nam,,3,3,4,Have certificate,Full,5.9,2026
"Cầu Xây 2, Phường Tăng Nhơn Phú, TP Hồ Chí Minh",184,,,,,,2,,,,9.9,2026
"Đường số 3., Phường Linh Xuân, TP Hồ Chí Minh",71.4,,,,,1,2,2,,,4.3,2026
"Đường Bàu Cát 2, Phường Bảy Hiền, TP Hồ Chí Minh",50,,,,,3,3,4,Have certificate,Other,5.6,2026
"Tây Lân, Phường Tân Tạo, TP Hồ Chí Minh",51,,,Đông,,2,3,2,Have certificate,,4.85,2026
"Khu Y Tế Kỹ Thuật Cao, Phường An Lạc, TP Hồ Chí Minh",31,,,,,3,4,2,Have certificate,Basic,3.8,2026
"Hương Lộ 2, Phường Bình Trị Đông, TP Hồ Chí Minh",64,,,,,5,4,5,Have certificate,Full,9.1,2026
"Đường Tân Thới Hiệp 09, Phường Tân Thới Hiệp, TP Hồ Chí Minh",47,,,,,,2,3,Have certificate,Other,4.85,2026
"Đường Thạnh Xuân 25, Phường Thới An, TP Hồ Chí Minh",75,,,Đông Nam,,1,1,1,Have certificate,Other,7.8,2026
"Đường Số 22, Xã Bình Hưng, TP Hồ Chí Minh",120,,,,,,4,4,Have certificate,,11,2026
"Đường Phạm Thế Hiển, Phường Bình Đông, TP Hồ Chí Minh",500,,,,,,4,,,,35,2026
", Phường Hòa Hưng, TP Hồ Chí Minh",55,,,,,,2,,Have certificate,,8.9,2026
"Đường Vạn Kiếp, Phường Gia Định, TP Hồ Chí Minh",60,,,,,3,2,2,Have certificate,Basic,5.75,2026
"Đường Nguyễn Hữu Tiến, Phường Tây Thạnh, TP Hồ Chí Minh",36,,,,,4,3,3,Have certificate,Full,6.05,2026
"Đường Phan Chu Trinh, Phường Bình Thạnh, TP Hồ Chí Minh",72,,,,,2,2,1,Have certificate,Basic,5.89,2026
"Đường Lê Quang Định, Phường Bình Lợi Trung, TP Hồ Chí Minh",39,,,,,2,2,2,Have certificate,Other,5.35,2026
"Đường Nguyễn Văn Đậu, Phường Bình Lợi Trung, TP Hồ Chí Minh",64,,,,,2,2,2,Have certificate,Basic,6.95,2026
"Đường Phan Văn Khỏe, Phường Bình Tây, TP Hồ Chí Minh",49,,,,,2,3,2,Have certificate,Basic,6.2,2026
"Đường An Dương Vương, Phường An Lạc, TP Hồ Chí Minh",66,,,,,3,3,,Have certificate,,5.2,2026
"Đường Lê Văn Thọ, Phường Thông Tây Hội, TP Hồ Chí Minh",50,,,,,4,3,3,Have certificate,Other,6.94,2026
"Đường 13A, Phường Bình Hưng Hòa, TP Hồ Chí Minh",66,,,,,2,2,2,Have certificate,Other,4.85,2026
"Đường Vành Đai Trong, Phường An Lạc, TP Hồ Chí Minh",100,,,,,4,4,5,Have certificate,,23,2026
"Đường Điện Biên Phủ, Phường Gia Định, TP Hồ Chí Minh",40,,,,,11,2,2,Have certificate,Basic,5.65,2026
"Đường Bùi Đình Tuý, Phường Bình Thạnh, TP Hồ Chí Minh",58,,,,,1,2,3,Have certificate,Basic,5.99,2026
"Đường Số 22, Xã Bình Hưng, TP Hồ Chí Minh",120,,,,,,4,4,Have certificate,,11,2026
"241/ Tân Hoà Đông , Phường Phú Lâm, TP Hồ Chí Minh",11.4,,,Tây,,,3,4,Have certificate,,2.38,2026
"Cầu Xây 2, Phường Tăng Nhơn Phú, TP Hồ Chí Minh",184,,,,,,2,,,,9.9,2026
"Đường Khuông Việt, Phường Tân Phú, TP Hồ Chí Minh",68,,,,,2,3,3,Have certificate,Other,6,2026
"Đường Phan Đăng Giảng, Phường Bình Hưng Hòa, TP Hồ Chí Minh",52,,,Bắc,,4,4,5,Have certificate,Other,6.4,2026
"Đường Số 7, Phường Hạnh Thông, TP Hồ Chí Minh",45,,,,,4,4,3,Have certificate,,7.1,2026
"Đường Hiệp Thành 43, Phường Tân Thới Hiệp, TP Hồ Chí Minh",51,,,,,1,1,1,Have certificate,,2.87,2026
"Trần Thị Hè, Phường Tân Thới Hiệp, TP Hồ Chí Minh",68,,,,,1,2,2,Have certificate,Other,3.69,2026
"Đường Trịnh Công Sơn, Phường Long Phước, TP Hồ Chí Minh",190,,,Tây Bắc,,3,4,5,Have certificate,,20.5,2026
"Đường Nguyễn Xí, Phường Bình Lợi Trung, TP Hồ Chí Minh",57,,,,,2,2,2,Have certificate,Full,7.9,2026
"Đường Nguyễn Văn Công, Phường Hạnh Thông, TP Hồ Chí Minh",55,,,,,,3,2,Have certificate,,5.1,2026
"Đường Phùng Văn Cung, Phường Cầu Kiệu, TP Hồ Chí Minh",48,,,,,3,4,4,Have certificate,Other,7,2026
"Đường Nguyễn Nhữ Lãm, Phường Phú Thọ Hòa, TP Hồ Chí Minh",67,,,,,,3,,Have certificate,,7.55,2026
"Đường Âu Cơ, Phường Tân Hòa, TP Hồ Chí Minh",38,,,,,4,2,3,Have certificate,Other,8.6,2026
"Đường Vườn Lài, Phường Phú Thọ Hòa, TP Hồ Chí Minh",73,,,,,2,3,3,Have certificate,Full,7.2,2026
"Đường Quang Trung, Phường Thông Tây Hội, TP Hồ Chí Minh",64,,,,,2,2,2,Have certificate,,4.58,2026
"Đường Đào Tông Nguyên, Xã Nhà Bè, TP Hồ Chí Minh",105,,,,,2,3,3,Have certificate,Full,5.68,2026
"Đường Bùi Đình Tuý, Phường Bình Thạnh, TP Hồ Chí Minh",60,,,,,,4,,Have certificate,,8,2026
"Đường số 3, Phường Bình Hưng Hòa, TP Hồ Chí Minh",32,,,,,3,3,3,Have certificate,Other,3.999,2026
"Đường Lạc Long Quân, Phường Tân Hòa, TP Hồ Chí Minh",36,,,,,,3,3,Have certificate,,4,2026
"Huỳnh Thị Hai, Phường Trung Mỹ Tây, TP Hồ Chí Minh",95,,,,,3,7,6,Have certificate,Basic,5,2026
"Đường Tân Long, Xã Tân Nhựt, TP Hồ Chí Minh",125,,,,,1,2,2,Have certificate,,4,2026
"Đường Hiệp Thành 43, Phường Tân Thới Hiệp, TP Hồ Chí Minh",51,,,,,1,1,1,Have certificate,,2.87,2026
"Đường Nguyễn Văn Luông, Phường Bình Phú, TP Hồ Chí Minh",206,,,,,5,10,6,Have certificate,,17.8,2026
"Đường Nguyễn Xí, Phường Bình Lợi Trung, TP Hồ Chí Minh",57,,,,,2,2,2,Have certificate,Full,7.9,2026
"Đường Kha Vạn Cân, Phường Thủ Đức, TP Hồ Chí Minh",165,,,,,1,10,,Have certificate,Full,11.5,2026
"Mai Văn Vĩnh, Phường Tân Hưng, TP Hồ Chí Minh",60,,,,,4,4,,Have certificate,Other,10.9,2026
"Đường Lê Ngã, Phường Tân Phú, TP Hồ Chí Minh",13,,,,,3,2,,,,1.85,2026
"Quấc Lộ 22, Phường Trung Mỹ Tây, TP Hồ Chí Minh",155,,,,,,3,,Have certificate,,11.89,2026
"Đường số 19E, Phường Bình Trị Đông, TP Hồ Chí Minh",67.5,,,Nam,,4,4,4,Have certificate,,9.8,2026
"Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, TP Hồ Chí Minh",25,,,,,2,2,2,Have certificate,Other,3.49,2026
"Mã Lò , Phường Bình Trị Đông, TP Hồ Chí Minh",76,,,,,3,3,3,Have certificate,Other,6.6,2026
"Đường Lê Văn Quới, Phường Bình Hưng Hòa, TP Hồ Chí Minh",60,,,,,3,4,3,Have certificate,Full,6.15,2026
"Đường Âu Cơ, Phường Tân Hòa, TP Hồ Chí Minh",38,,,,,4,2,3,Have certificate,Other,8.6,2026
"Đường Lê Đình Cẩn, Phường Bình Trị Đông, TP Hồ Chí Minh",56,,,,,2,6,6,Have certificate,Other,4.55,2026
"Đường Ni Sư Huỳnh Liên, Phường Bảy Hiền, TP Hồ Chí Minh",20,,,,,2,2,2,Have certificate,Basic,2.95,2026
"Đường Tên Lửa, Phường An Lạc, TP Hồ Chí Minh",80,,,,,4,4,5,Have certificate,Full,10,2026
"Đường Trịnh Công Sơn, Phường Long Phước, TP Hồ Chí Minh",190,,,Tây Bắc,,3,4,5,Have certificate,,20.5,2026
"Đường Thạnh Lộc 19, Phường An Phú Đông, TP Hồ Chí Minh",35,,,Đông Nam,,2,3,2,Shared certificate,Basic,1.38,2026
"157 Mai Xuân Thưởng Q6, Phường Bình Tiên, TP Hồ Chí Minh",39.1,,,Đông,,,4,3,Have certificate,,5.8,2026
"Đường Lê Đình Cẩn, Phường Bình Trị Đông, TP Hồ Chí Minh",56,,,,,2,6,6,Have certificate,Other,4.55,2026
"Đường Lê Văn Sỹ, Phường Nhiêu Lộc, TP Hồ Chí Minh",45.4,,,,,4,5,5,Have certificate,,12.5,2026
"Mã Lò , Phường Bình Trị Đông, TP Hồ Chí Minh",76,,,,,3,3,3,Have certificate,Other,6.6,2026
"Đường Tân Long, Xã Tân Nhựt, TP Hồ Chí Minh",125,,,,,1,2,2,Have certificate,,4,2026
"Đường Trần Thị Cờ, Phường Thới An, TP Hồ Chí Minh",66,,,Nam,,3,4,5,Have certificate,Basic,6.2,2026
"Hẻm 686 Cách Mạng Tháng 8, Phường Tân Sơn Nhất, TP Hồ Chí Minh",61,,,,,3,3,3,Have certificate,,9.39,2026
"Đường Huỳnh Tấn Phát, Phường Tân Thuận, TP Hồ Chí Minh",25,,,,,,3,,Have certificate,Full,3.75,2026
"Đường Phạm Văn Hai, Phường Tân Sơn Hòa, TP Hồ Chí Minh",51,,,,,2,2,,Have certificate,,7.5,2026
"Đường Quốc lộ 22, Xã Xuân Thới Sơn, TP Hồ Chí Minh",228,,,,,2,3,3,,,8.7,2026
"Đường Tên Lửa, Phường An Lạc, TP Hồ Chí Minh",126,,,,,4,4,5,Have certificate,,16.6,2026
"Đường số 27, Phường An Lạc, TP Hồ Chí Minh",80,,,,,4,4,4,Have certificate,Basic,10,2026
"Đường Tên Lửa, Phường An Lạc, TP Hồ Chí Minh",80,,,,,4,4,5,Have certificate,Full,10,2026
"Đường Trương Phước Phan, Phường Bình Trị Đông, TP Hồ Chí Minh",80,,,,,4,4,5,Have certificate,Other,8.2,2026
"Đường Hương Lộ 2, Phường Bình Trị Đông, TP Hồ Chí Minh",112,,,,,3,5,5,Have certificate,Other,8.6,2026
"332/46/, Phường Bình Lợi Trung, TP Hồ Chí Minh",15,,,,,,2,2,Have certificate,Other,2.35,2026
"Đường Gò Xoài, Phường Bình Hưng Hòa, TP Hồ Chí Minh",44,,,,,,2,2,Have certificate,,4.1,2026
"Đường Nguyễn Bình, Xã Nhà Bè, TP Hồ Chí Minh",19,,,,,3,2,3,Have certificate,Full,1.49,2026
"Đường Phan Huy Ích, Phường An Hội Tây, TP Hồ Chí Minh",80,,,,,3,10,6,Have certificate,Other,15.6,2026
"Đường 18B, Phường Bình Hưng Hòa, TP Hồ Chí Minh",32,,,,,2,2,2,Have certificate,Other,3.68,2026
"Đường Gò Xoài, Phường Bình Hưng Hòa, TP Hồ Chí Minh",44,,,,,,2,2,Have certificate,,4.1,2026
"Hẻm 64 Đường Giồng Cát, Xã Củ Chi, TP Hồ Chí Minh",80,,,,,,2,2,Have certificate,,1.1,2026
"332/46/, Phường Bình Lợi Trung, TP Hồ Chí Minh",15,,,,,,2,2,Have certificate,Other,2.35,2026
"Cầu Hậu Giang, Phường Bình Phú, TP Hồ Chí Minh",33,,,,,2,2,2,Have certificate,Basic,2.95,2026
"29a2, Phường Trung Mỹ Tây, TP Hồ Chí Minh",34,,,,,2,3,1,Have certificate,Basic,3.35,2026
"Đường Tân Hòa Đông, Phường Phú Lâm, TP Hồ Chí Minh",35,,,,,4,4,3,Have certificate,Full,4.3,2026
"Đường Phan Huy Ích, Phường An Hội Tây, TP Hồ Chí Minh",80,,,,,3,10,6,Have certificate,Other,15.6,2026
"Đường Gò Xoài, Phường Bình Hưng Hòa, TP Hồ Chí Minh",66,,,,,3,4,3,Have certificate,Full,3.7,2026
"Đường Trần Thị Cờ, Phường Thới An, TP Hồ Chí Minh",66,,,Nam,,3,4,5,Have certificate,Basic,6.2,2026
"109, Phường Phước Long, TP Hồ Chí Minh",142,,,Đông Bắc,,1,2,1,Have certificate,,9,2026
"Đường Huỳnh Tấn Phát, Phường Tân Thuận, TP Hồ Chí Minh",25,,,,,,3,,Have certificate,Full,3.75,2026
"Đường Hương Lộ 3, Phường Bình Hưng Hòa, TP Hồ Chí Minh",60,,,,,5,5,5,Have certificate,Other,6,2026
"Đường Nguyễn Bình, Xã Nhà Bè, TP Hồ Chí Minh",19,,,,,3,2,3,Have certificate,Full,1.49,2026
"Đường Thích Quảng Đức, Phường Đức Nhuận, TP Hồ Chí Minh",40,,,,,4,4,4,Have certificate,Other,8,2026
"Đường Cách Mạng Tháng 8, Phường Tân Sơn Nhất, TP Hồ Chí Minh",40,,,Đông Nam,,2,2,2,Have certificate,Other,4.499,2026
"192/3, Phường Tân Thuận, TP Hồ Chí Minh",18.9,,,,,2,2,2,Other,,1.55,2026
"Đường Tây Sơn, Phường Tân Sơn Nhì, TP Hồ Chí Minh",70,,,,,1,2,1,Have certificate,,6.47,2026
"Đường Đỗ Xuân Hợp, Phường Phước Long, TP Hồ Chí Minh",63,,,,,2,2,2,,,4.4,2026
