address,area,frontage,access_road,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,year
"Hẻm 350, Đường Nguyễn Văn Lượng, Phường 16, Gò Vấp, Hồ Chí Minh",50.4,,5,,,3,4,4,Have certificate,Basic,3.75,2024
"Hẻm 36/ Bình Giã, Phường 13, Tân Bình, Hồ Chí Minh",54,,5,,,3,4,4,Have certificate,Full,4.3,2024
"HXH 330/, Đường Phan Đình Phùng, Phường 1, Phú Nhuận, Hồ Chí Minh",57.4,,,,,3,3,2,Have certificate,Basic,4.05,2024
"Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",51.75,4.5,6,Tây Nam,Tây Nam,4,4,5,Have certificate,,9.2,2024
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",115,,,,,,,,,Full,9.55,2024
"Phường 11, Tân Bình, Hồ Chí Minh",55,4.5,5,,,,,,,,6.8,2024
"Hẻm 47/, Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",56.25,4.5,5,,,3,4,3,Have certificate,Basic,4.29,2024
"30/2, Đường Số 47, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",65,,,,,2,3,3,,,4,2024
"Đường Lê Văn Quới, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",80,8,8,Nam,Nam,5,5,6,,,6.5,2024
"Đường Nguyễn Đình Chính, Phường 11, Phú Nhuận, Hồ Chí Minh",38,4.2,6,Đông Bắc,Đông Bắc,4,3,4,Have certificate,Full,6.78,2024
"Dự án Ny'ah Bình Tây, Đường Nguyễn Văn Luông, Phường 11, Quận 6, Hồ Chí Minh",42,,,,,3,2,,Have certificate,,6.5,2024
"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",43.5,,2,Tây Nam,Tây Nam,4,3,4,Have certificate,Basic,6.2,2024
"189/16, Đường Lý Thái Tổ, Phường 9, Quận 10, Hồ Chí Minh",23.9,3.5,,,,2,2,2,,,4.2,2024
"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",78.7,4,,Đông Nam,,,,,Have certificate,,5.5,2024
"Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",72,4,5,,,2,4,4,Have certificate,Full,6.7,2024
"Dự án PiCity High Park, Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",200,,,,,2,3,3,,,10,2024
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",100,,20,Nam,Nam,3,4,4,Have certificate,Full,8.49,2024
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",132,4,8,,,2,3,2,,,7,2024
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",102,,3,,,1,2,1,Have certificate,,6.8,2024
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",101,7.1,2.5,,,3,4,3,Have certificate,,6.6,2024
"Đường Số 8, Phường 11, Gò Vấp, Hồ Chí Minh",81,8,8,Bắc,Bắc,1,1,1,,,5.8,2024
"Dự án Mega Ruby, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",75,5,24,,,3,3,3,Have certificate,Full,7.7,2024
"Đường Tân Kỳ Tân Quý, Phường Tân Quý, Tân Phú, Hồ Chí Minh",62,,,,,4,6,4,Have certificate,,6.9,2024
"Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",143,5,6,,,4,4,4,Have certificate,Full,9.3,2024
"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",83.6,,,Tây,,4,4,5,Have certificate,,8.6,2024
"Đường 5, Phường Bình Trưng Tây, Thủ Đức, Hồ Chí Minh",50,9,,Nam,Nam,2,2,2,Have certificate,,3.9,2024
"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",65,,8,,,4,4,5,,,4.2,2024
"Hẻm 183, Đường 3/2, Phường 11, Quận 10, Hồ Chí Minh",40,,5,Tây,,4,5,4,Have certificate,Full,9.1,2024
"Đường An Dương Vương, Phường 10, Quận 6, Hồ Chí Minh",66,4,12,,,4,5,3,Have certificate,,8.95,2024
"Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",74,,,,,2,4,3,Have certificate,Full,6.83,2024
"Hẻm 701, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",45,,,,,2,2,2,Have certificate,,4.4,2024
"Dự án The Origami, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",45,,24,Đông Nam,,,,,Sale contract,Basic,7,2024
"Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",56.1,4.2,,,,4,4,3,Have certificate,,6.3,2024
"Đường Trương Phước Phan, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",64,4,6,Tây,Tây,5,4,5,Have certificate,Basic,6.7,2024
"168/86// Đường Bình Trị Đông, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",96,5.5,,Đông Nam,,2,5,5,Have certificate,Full,8.5,2024
"Đường Tô Hiến Thành, Phường 14, Quận 10, Hồ Chí Minh",31,6.2,6,Tây Bắc,Tây Bắc,3,4,3,Have certificate,Full,6.8,2024
"Đường Mã Lò, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",64,4,6,,,5,6,6,Have certificate,Full,5.98,2024
"Đường Gò Dầu, Phường Tân Thành, Tân Phú, Hồ Chí Minh",50,,,,,4,4,4,,,7,2024
"Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",68,4,5,,,1,3,3,Have certificate,,2.8,2024
"Đường 826C, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh",40,,,Đông,Đông,2,2,2,Have certificate,,1.38,2024
"Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh",75,8,3,Đông Nam,,1,3,1,Have certificate,Full,2.35,2024
"Dự án Dragon Village, Đường 990, Phường Phú Hữu, Quận 9, Hồ Chí Minh",90,6,30,Tây Nam,Tây Nam,3,3,4,Have certificate,,5.8,2024
"Đường Phạm Hùng, Phường 9, Quận 8, Hồ Chí Minh",86,4,3,,,2,8,2,,,7.6,2024
"Đường Bùi Quang Là, Phường 12, Gò Vấp, Hồ Chí Minh",53,,5,Tây Bắc,,2,4,3,Have certificate,,4.35,2024
"Dự án KDC Bình Hưng, Đường Quốc Lộ 50, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",72,,10,,,3,4,4,Have certificate,,8.35,2024
"Đường Lê Đình Cẩn, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",40,,6,,,1,2,2,Have certificate,Full,2.35,2024
"Đường Lạc Long Quân, Phường 8, Tân Bình, Hồ Chí Minh",20,,,,,3,2,2,Have certificate,Full,2.8,2024
"Đường 7, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",52,4.5,8,Bắc,Bắc,4,4,3,Have certificate,Basic,7.2,2024
"Đường Trịnh Như Khuê, Xã Bình Chánh, Bình Chánh, Hồ Chí Minh",98.4,,12,Tây Bắc,Tây Bắc,1,3,2,Have certificate,Full,1.19,2024
"Đường Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",26.4,4,,Tây Bắc,,3,2,1,,,3.85,2024
"551/263, Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",60,5,9,Đông Nam,,3,4,5,Have certificate,,5.6,2024
"Đường Lê Văn Chí, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",51,4.2,12,Tây Nam,Tây Nam,2,3,4,Have certificate,Basic,6,2024
"Đường Quốc Lộ 13, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",60,4.5,6,,,4,4,4,Have certificate,Basic,6.5,2024
"Đường Vĩnh Khánh, Phường 10, Quận 4, Hồ Chí Minh",11,3,,,,3,2,2,Have certificate,Full,1.85,2024
"Đường Nguyễn Ảnh Thủ, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",110,4.4,7,,,2,2,2,Have certificate,,5,2024
"22/30, Đường 21, Phường 8, Gò Vấp, Hồ Chí Minh",54,,5,,,4,4,4,,,5.7,2024
"Đường Hồ Văn Long, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",58.3,,12,Tây,Tây,3,4,5,Have certificate,Full,5.5,2024
"86, Đường Trường Chinh, Phường 12, Tân Bình, Hồ Chí Minh",53,3.6,5,,,4,3,4,Have certificate,Basic,6.5,2024
"Đường Số 9, Phường 9, Gò Vấp, Hồ Chí Minh",30,,8,,,2,2,2,,,3.75,2024
"Phường 7, Quận 8, Hồ Chí Minh",101,9,,,,1,,,,,4.8,2024
"Hẻm 47/, Đường Bùi Đình Túy, Phường 24, Bình Thạnh, Hồ Chí Minh",20,,,,,2,2,2,Have certificate,Full,3.45,2024
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",72,,,,,5,4,4,Have certificate,,9.5,2024
"Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",48,,4,Tây Nam,,4,3,4,Have certificate,Full,6.2,2024
"Đường Thống Nhất, Phường 16, Gò Vấp, Hồ Chí Minh",40,,4,Đông Nam,,4,4,3,Have certificate,Full,5.6,2024
"Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh",65,,,,,3,4,4,Have certificate,,10,2024
"Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh",60,6,3.5,Tây Nam,,4,4,4,Have certificate,Basic,8,2024
"Đường Dương Công Khi, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh",177,6.1,,,,2,3,4,Have certificate,Basic,5.46,2024
"Đường An Dương Vương, Phường 16, Quận 8, Hồ Chí Minh",84,7,10,Tây Bắc,Tây Bắc,3,8,6,Have certificate,,6.5,2024
"Phường An Phú, Quận 2, Hồ Chí Minh",80,,6,,,3,5,5,Have certificate,Basic,6.9,2024
"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",52,,,,,,1,1,Sale contract,,7,2024
"Phường Phước Bình, Quận 9, Hồ Chí Minh",70,,,,,4,5,,Have certificate,,7.5,2024
"Phường Phú Thạnh, Tân Phú, Hồ Chí Minh",58,,,,,3,3,3,Have certificate,Full,6.39,2024
"Đường Hiệp Bình, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",52,,,,,3,4,,,,5.3,2024
"Đường Kinh Dương Vương, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",94,5.7,4,,,,,,Have certificate,,4.8,2024
"Đường Nguyễn Đình Chiểu, Phường 5, Quận 3, Hồ Chí Minh",45.5,3.7,,,,3,3,3,,Full,3.25,2024
"Đường 182, Phường Tăng Nhơn Phú A, Thủ Đức, Hồ Chí Minh",71,,4,,,2,2,2,Have certificate,Basic,4.9,2024
"Đường 53, Phường 14, Gò Vấp, Hồ Chí Minh",64,5,10,Bắc,Bắc,4,4,5,Have certificate,,8,2024
"Đường Số 8, Phường 11, Gò Vấp, Hồ Chí Minh",88.6,,,,,3,3,4,Have certificate,,9.5,2024
"Dự án Dragon Village, Đường 990, Phường Phú Hữu, Quận 9, Hồ Chí Minh",90,6,30,Đông Nam,Đông Nam,3,4,4,Have certificate,,5.95,2024
"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",102.6,7,3,Đông,Đông,1,2,2,Have certificate,Full,5.6,2024
"Phường 13, Phú Nhuận, Hồ Chí Minh",62,4.3,,,,5,5,,Have certificate,Full,8.9,2024
"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",60,4,8,Tây Bắc,,3,4,5,Have certificate,,7.45,2024
"Đường Võ Văn Kiệt, Phường Cầu Kho, Quận 1, Hồ Chí Minh",54,4.85,2,,,2,3,2,Have certificate,Basic,7.5,2024
"Đường Thân Nhân Trung, Phường 13, Tân Bình, Hồ Chí Minh",59,5,5,,,3,9,9,Have certificate,Basic,6,2024
"Dự án PiCity High Park, Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",100,,,,,,,,Have certificate,Full,7,2024
"Đường Lê Đức Thọ, Phường 13, Gò Vấp, Hồ Chí Minh",58,4,4,,,,5,5,Have certificate,Full,6.2,2024
"Đường Ấp 6, Xã Lê Minh Xuân, Bình Chánh, Hồ Chí Minh",40,,,,,1,2,2,Have certificate,,1.3,2024
"Đường Hồ Học Lãm, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh",127,4.5,,,,2,3,2,Have certificate,Full,8.45,2024
"Đường Nguyễn Phúc Chu, Phường 15, Tân Bình, Hồ Chí Minh",48,4,,,,3,4,3,Have certificate,Full,5,2024
"Đường Trần Thị Trọng, Phường 15, Tân Bình, Hồ Chí Minh",54,,,,,2,,,,,4.1,2024
"Đường Đoàn Văn Bơ, Phường 16, Quận 4, Hồ Chí Minh",35,3.6,4,,,3,3,2,Have certificate,Full,3.75,2024
"Hẻm 1234, Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",98.7,6,3,Đông Nam,Đông Nam,2,7,4,Have certificate,Basic,5.2,2024
"76/10/24 Đường Nguyễn Sơn, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",54,3.8,4,Tây,Tây,2,2,2,Have certificate,Full,5.65,2024
"Đường Xô Viết Nghệ Tĩnh, Phường 24, Bình Thạnh, Hồ Chí Minh",70,5,,,,5,7,8,Have certificate,,6.9,2024
"Đường Số 12, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",60,4,5,Đông Nam,,3,4,3,Have certificate,Full,5.2,2024
"Đường Tôn Đản, Phường 8, Quận 4, Hồ Chí Minh",49.5,4.5,4.3,Tây Nam,,3,2,2,Have certificate,Full,4.15,2024
"Dự án Green River quận 8, Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",151,,,,,2,2,3,Have certificate,Basic,5.7,2024
"Đường 1A, Phường An Lạc A, Bình Tân, Hồ Chí Minh",68,4.5,,,,3,4,4,Have certificate,,6.7,2024
"Đường Đồng Nai, Phường 15, Quận 10, Hồ Chí Minh",66,6,8,,,,5,4,Have certificate,Full,9.9,2024
"Đường Phú Định, Phường 16, Quận 8, Hồ Chí Minh",36,4,,,,3,4,3,Have certificate,,3.5,2024
"Đường 1, Xã Bình Chánh, Bình Chánh, Hồ Chí Minh",75,5,8,Đông Nam,Đông Nam,2,3,2,Have certificate,Full,2.25,2024
"Đường Hồ Văn Long, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",28,3.5,7,,,,,,Have certificate,,2.68,2024
"Đường Bàu Cát 1, Phường 12, Tân Bình, Hồ Chí Minh",38,,,,,5,4,5,,,9.1,2024
"Đường Hoàng Bật Đạt, Phường 15, Tân Bình, Hồ Chí Minh",54,,5,,,4,4,5,Have certificate,,6.2,2024
"Đường Lâm Thị Hố, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",126.2,5.6,12,,Đông Bắc,1,2,1,,,6.9,2024
"Đường Phạm Thế Hiển, Phường 1, Quận 8, Hồ Chí Minh",68,4,3,,,2,6,6,Have certificate,,4.95,2024
"Đường Linh Đông, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",44,3.5,5,,,3,4,3,Have certificate,Basic,3.8,2024
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",70,,,,,5,5,5,Have certificate,Full,6.01,2024
"Đường Cư Xá Phú Lâm B, Phường 13, Quận 6, Hồ Chí Minh",72,,,,,2,6,4,Have certificate,,6.75,2024
"Đường Hương lộ 2, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",60,4,9,Đông,Đông,3,5,5,Have certificate,Basic,7.6,2024
"1942, Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",82.5,,,Đông Nam,,2,3,2,Have certificate,Full,4.8,2024
"Đường Thanh Đa, Phường 27, Bình Thạnh, Hồ Chí Minh",157,10,3,Đông Nam,Tây Nam,4,7,7,Have certificate,Basic,10,2024
"530/Đường Tỉnh Lộ 10, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",66,4.1,7,,,4,5,6,Have certificate,Basic,6.8,2024
"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",60,4,3,,,3,4,6,Have certificate,Basic,4.8,2024
"Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",85,5,6,Nam,,3,4,4,Have certificate,Full,5.99,2024
"285 Đường Quốc lộ 1A, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",49.1,3.86,50,Tây Bắc,Tây Bắc,2,3,2,Have certificate,,3.5,2024
"Xã Bình Chánh, Bình Chánh, Hồ Chí Minh",85,,,,,3,3,4,Have certificate,Full,4,2024
"670/87/20 Đường Đoàn Văn Bơ, Phường 16, Quận 4, Hồ Chí Minh",56.5,,,,,3,4,3,Have certificate,,4.7,2024
"Số 61/2, Đường Nguyễn Xiển, Phường Trường Thạnh, Thủ Đức, Hồ Chí Minh",245,,12,Tây Nam,Nam,1,,,Have certificate,,7.6,2024
"Hẻm 1716/46/, Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",21,,5,,,3,2,2,Have certificate,,1.53,2024
"Đường Hoàng Hoa Thám, Phường 5, Phú Nhuận, Hồ Chí Minh",36,,,,,4,5,4,Have certificate,Full,6.25,2024
"Dự án The Beverly Solari  - Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",45,,,,,,,1,Sale contract,,5.9,2024
"331/, Đường Phan Huy Ích, Phường 14, Gò Vấp, Hồ Chí Minh",41.5,4,6,Nam,,4,5,3,Have certificate,Full,7.7,2024
"Đường Trường Chinh, Phường 12, Tân Bình, Hồ Chí Minh",60,10,10,,,3,5,3,Have certificate,,9.99,2024
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",91,4,5,,,4,4,4,Have certificate,,9.3,2024
"1716/9, Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",27,3,3,,,3,4,2,Have certificate,,1.99,2024
"Đường Dân Thắng 2, Xã Tân Thới Nhì, Hóc Môn, Hồ Chí Minh",80,4,5,,,2,3,4,Have certificate,,4.25,2024
"Đường Nguyễn Tư Giản, Phường 12, Gò Vấp, Hồ Chí Minh",60,,,,,3,3,2,Have certificate,,5.9,2024
"Đường Phạm Thế Hiển, Phường 1, Quận 8, Hồ Chí Minh",68,,3,,,,6,6,Have certificate,Basic,4.95,2024
"Lê Đình Cẩn, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",42,4,4,,,2,2,2,Have certificate,Full,1.9,2024
"Hẻm 308, Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",55,,,Tây,,2,3,2,Have certificate,,4.75,2024
"Dự án Green River quận 8, Đường Phạm Thế Hiển, Phường 6, Quận 8, Hồ Chí Minh",151,,,Đông Nam,,2,2,3,Have certificate,Basic,5.6,2024
"Đường Phan Xích Long, Phường 3, Phú Nhuận, Hồ Chí Minh",62.44,,,,,2,3,4,Have certificate,Basic,8.3,2024
"Đường Dương Quảng Hàm, Phường 5, Gò Vấp, Hồ Chí Minh",100,4,,,,2,3,2,Have certificate,Basic,9,2024
"Dự án Phố Đông Village , Đường Nguyễn Thị Định, Phường Cát Lái, Quận 2, Hồ Chí Minh",100,,,,,,,,,,8.5,2024
"783A, Đường Cao Lỗ, Phường 14, Quận 8, Hồ Chí Minh",64,4,16,Tây Bắc,Tây Bắc,3,4,4,Have certificate,Full,10,2024
"Đường Lê Văn Sỹ, Phường 13, Phú Nhuận, Hồ Chí Minh",40,4,4,,,5,4,5,Have certificate,,9.2,2024
"Đường 836, Phường Phú Hữu, Quận 9, Hồ Chí Minh",100,5,12,Đông Bắc,,1,2,1,Have certificate,,7.8,2024
"Dự án Mega Ruby, Đường D3, Phường Phú Hữu, Quận 9, Hồ Chí Minh",82.5,5,12,Tây,Tây,3,3,3,Have certificate,Full,9.3,2024
"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",53.28,3.3,60,Tây Bắc,Đông Nam,1,1,1,,,8.2,2024
"Đường Hoàng Văn Thụ, Phường 8, Phú Nhuận, Hồ Chí Minh",64,8,4.5,,,4,5,5,Have certificate,Full,8.5,2024
"Đường Nguyễn Duy Trinh, Phường Long Trường, Quận 9, Hồ Chí Minh",65.6,4.5,,,,2,3,3,Have certificate,,5.9,2024
"Đường Linh Đông, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",100,5,6,,,3,4,4,Have certificate,,7.2,2024
"26/3A Đường Cây Cám, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",201,,,,,,,,Have certificate,,8.8,2024
"Đường Lê Đức Thọ, Phường 6, Gò Vấp, Hồ Chí Minh",42.5,8.5,4,Tây,,4,3,3,Have certificate,Full,5.95,2024
"71/15L KP5, Đường 25, Phường Phước Long B, Quận 9, Hồ Chí Minh",103,,5,Nam,Nam,1,2,2,Have certificate,Full,5.3,2024
"Đường Tân Kỳ Tân Quý, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",116,,,,,2,6,3,Have certificate,Full,9,2024
"Đường Dương Quảng Hàm, Phường 5, Gò Vấp, Hồ Chí Minh",90,,6,,,1,,,Have certificate,,8.9,2024
"Đường Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Hồ Chí Minh",52,,,Đông,,3,4,5,Have certificate,Basic,6.1,2024
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",41,3.06,,,,2,2,1,Have certificate,Basic,3,2024
"Đường Bác Ái, Phường Tân Thành, Tân Phú, Hồ Chí Minh",73,4.1,12,,,3,3,3,Have certificate,,8.8,2024
"Phường 14, Tân Bình, Hồ Chí Minh",68,4.3,7,,,4,3,3,Have certificate,Full,9.4,2024
"Đường Trần Thị Do, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",56,,10,Đông Nam,,4,5,5,Have certificate,Basic,5.79,2024
"Đường Tân Hóa, Phường 14, Quận 6, Hồ Chí Minh",71,4.7,4,,,4,4,4,Have certificate,Full,6.5,2024
"Đường Lam Sơn, Phường 5, Phú Nhuận, Hồ Chí Minh",69.2,,,,,2,6,3,Have certificate,Full,6.49,2024
"Đường 12, Phường Trường Thạnh, Thủ Đức, Hồ Chí Minh",53.8,4.5,8,Đông Bắc,Đông,4,3,3,Have certificate,Full,4.7,2024
"Số 61/ Phố 59, Phường 14, Gò Vấp, Hồ Chí Minh",32,,,Đông Nam,Nam,2,2,2,Have certificate,Full,3.75,2024
"Đường Huỳnh Khương An, Phường 5, Gò Vấp, Hồ Chí Minh",42.2,,4,,,2,2,2,Have certificate,Full,2.35,2024
"Đường Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",60,4,7,,,3,4,3,Have certificate,,4.85,2024
"Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",74,4,10,Bắc,Tây Bắc,3,4,4,Have certificate,Full,6.05,2024
